country;region;lifeExp;gdpPercap;pop
Judson;Judson;-0.801757;-0.0414;1703
Moore;Moore;0.371243;0.6617;1684
Hernando;Hernando;0.397243;-0.4335;1683
Hurst-Euless-Bedford;Hurst-Euless-Bedford;0.162243;0.3749;1681
Evansville-Vanderburgh;Evansville-Vanderburgh;-0.442757;-0.3467;1678
Rockwood R-VI;Rockwood R-VI;1.658243;1.7199;1678
Vancouver School District;Vancouver School District;-0.414757;-0.5302;1671
Lake Elsinore Unified;Lake Elsinore Unified;-0.568757;0.1925;1669
Washingtion County Public Schools;Washingtion County Public Schools;0.407243;0.1341;1669
Downey Unified;Downey Unified;-1.088757;0.0767;1668
Blue Valley - Overland Park;Blue Valley - Overland Park;1.776243;2.0065;1667
Osseo Public School District;Osseo Public School District;0.030243;0.6997;1666
Murrieta Valley Unified;Murrieta Valley Unified;-0.090757;0.8877;1661
Hartford School District;Hartford School District;-1.831757;-2.7974;1659
Mesa County Valley School District No.;Mesa County Valley School District No.;0.233243;0.4891;1658
Bridgeport School District;Bridgeport School District;-1.876757;-1.38;1654
Hemet Unified;Hemet Unified;-1.269757;-0.6611;1649
Modesto City Elementary;Modesto City Elementary;-1.684757;-1.4932;1642
Alhambra Elementary District;Alhambra Elementary District;-1.159757;-1.8863;1633
Federal Way School District;Federal Way School District;0.128243;0.0992;1631
Elizabeth;Elizabeth;-0.408757;-0.7307;1630
Newport-Mesa Unified;Newport-Mesa Unified;-0.164757;0.7964;1625
Richmond City;Richmond City;0.080243;-2.0235;1624
Kenosha School District;Kenosha School District;-0.154757;-0.1804;1624
Fairfield-Suisun Unified;Fairfield-Suisun Unified;-0.903757;0.1914;1621
Lancaster Elementary;Lancaster Elementary;-2.500757;-0.8533;1619
Goose Creek CISD;Goose Creek CISD;-0.545757;-0.2815;1617
Bossier Parish;Bossier Parish;-0.470757;-0.1165;1615
Redlands Unified;Redlands Unified;-0.358757;0.5114;1596
Sioux Falls School District 49-5;Sioux Falls School District 49-5;-0.130757;0.4328;1596
Puyallup School District;Puyallup School District;0.520243;0.4896;1596
Fayette County;Fayette County;1.117243;1.2393;1595
Edmond;Edmond;0.792243;1.2247;1595
South-Western City;South-Western City;-0.360757;-0.2328;1593
Galena Park;Galena Park;-0.294757;-0.5286;1592
Davidson County Schools;Davidson County Schools;0.435243;0.263;1588
Syracuse City School District;Syracuse City School District;-1.979757;-1.9247;1587
Christina School District;Christina School District;0.049243;-0.087;1580
Central Bucks;Central Bucks;1.635243;1.6504;1578
Ascension Parish;Ascension Parish;-0.588757;0.2014;1563
Hacienda La Puente Unified;Hacienda La Puente Unified;-0.734757;0.5085;1555
Madera Unified;Madera Unified;-1.620757;-1.002;1552
San Marcos Unified;San Marcos Unified;0.445243;0.5799;1541
Hamilton Southeastern Schools;Hamilton Southeastern Schools;1.381243;1.5731;1541
Hillsboro 1J;Hillsboro 1J;-0.336757;0.3441;1541
Abc Unified;Abc Unified;-0.139757;0.6086;1536
Rowan-Salisbury Schools;Rowan-Salisbury Schools;-0.208757;-0.2973;1535
Evergreen Elementary;Evergreen Elementary;0.798243;1.0805;1534
Greeley,School District No. 6, In The County Of Weld And Sta;Greeley,School District No. 6, In The County Of Weld And Sta;-0.286757;-0.241;1531
Alvord Unified;Alvord Unified;-1.378757;-0.1328;1530
Pajaro Valley Unified;Pajaro Valley Unified;-2.183757;-0.3594;1529
Arlington Co. Public Schools;Arlington Co. Public Schools;0.970243;1.5224;1529
Cusd 300;Cusd 300;-0.339757;0.7538;1528
Schaumburg CCSD;Schaumburg CCSD;0.903243;0.7684;1528
Boone Co.;Boone Co.;0.574243;0.7272;1525
Val Verde Unified;Val Verde Unified;-0.787757;-0.4433;1522
Santa Maria-Bonita;Santa Maria-Bonita;-2.334757;-0.6566;1520
Norwalk-La Mirada Unified;Norwalk-La Mirada Unified;-0.890757;0.2246;1518
Harnett County Schools;Harnett County Schools;-0.536757;-0.5051;1517
Jurupa Unified;Jurupa Unified;-1.353757;-0.3563;1516
Conejo Valley Unified;Conejo Valley Unified;0.506243;1.3077;1513
Fullerton Elementary;Fullerton Elementary;-0.053757;0.4569;1511
New Haven School District;New Haven School District;-1.515757;-1.7082;1510
Oceanside Unified;Oceanside Unified;-1.153757;-0.0238;1505
Beaufort;Beaufort;-0.582757;-0.1295;1502
Allen;Allen;1.257243;1.4151;1499
Sunnyside Unified District;Sunnyside Unified District;-1.481757;-1.5434;1498
Pasadena Unified;Pasadena Unified;-0.652757;0.2149;1498
Springdale School District;Springdale School District;-0.396757;-0.1826;1496
Dayton City;Dayton City;-1.950757;-2.5716;1496
Newton County;Newton County;-0.759757;-0.3974;1495
Ouachita Parish;Ouachita Parish;-0.133757;-0.0687;1494
Etiwanda Elementary;Etiwanda Elementary;0.309243;1.029;1491
Rankin Co. School District;Rankin Co. School District;-0.439757;0.3476;1490
Madison County;Madison County;0.213243;0.7816;1489
Plymouth-Canton Community Schools;Plymouth-Canton Community Schools;0.895243;1.3047;1489
Hampton City;Hampton City;-0.579757;-0.4511;1489
Wayne County Public Schools;Wayne County Public Schools;-0.443757;-0.8133;1488
Coachella Valley Unified;Coachella Valley Unified;-2.459757;-1.3982;1483
Folsom-Cordova Unified;Folsom-Cordova Unified;-0.048757;0.3394;1473
Tangipahoa Parish;Tangipahoa Parish;-1.558757;-0.9256;1471
Racine School District;Racine School District;-0.932757;-0.4322;1471
Edmonds School District;Edmonds School District;0.208243;0.3868;1470
Roosevelt Elementary District;Roosevelt Elementary District;-2.345757;-1.1926;1464
Pulaski Co. Spec. School Dist.;Pulaski Co. Spec. School Dist.;-0.407757;0.0128;1464
Glendale Elementary District;Glendale Elementary District;-2.126757;-1.3505;1462
Alum Rock Union Elementary;Alum Rock Union Elementary;-1.433757;-0.2579;1462
Kansas City;Kansas City;-1.500757;-1.4174;1461
Simi Valley Unified;Simi Valley Unified;0.040243;0.9847;1459
Randolph County Schools;Randolph County Schools;0.144243;-0.322;1458
Pearland;Pearland;0.908243;1.3179;1457
Northshore School District;Northshore School District;1.207243;1.3162;1455
Tyler;Tyler;-0.715757;-0.6644;1454
Victor Elementary;Victor Elementary;-0.939757;-1.1712;1453
Saugus Union Elementary;Saugus Union Elementary;0.348243;1.2452;1450
Beaumont;Beaumont;-0.296757;-1.0414;1450
South Bend Community;South Bend Community;-1.022757;-1.1043;1441
Cicero;Cicero;-2.150757;-0.8114;1418
Grand Rapids Public Schools;Grand Rapids Public Schools;-2.015757;-1.9935;1410
Everett School District;Everett School District;0.502243;0.2899;1408
Green Bay Area School District;Green Bay Area School District;-0.331757;-0.1109;1406
Ft. Zumwalt R-II;Ft. Zumwalt R-II;0.091243;1.1009;1404
Hazelwood;Hazelwood;-0.727757;-0.3929;1402
Antioch Unified;Antioch Unified;-1.585757;-0.0566;1397
Red Clay Consolidated School District;Red Clay Consolidated School District;-0.342757;0.1153;1394
North Kansas City;North Kansas City;0.155243;0.3418;1390
Comal;Comal;0.439243;0.9989;1390
Allentown City;Allentown City;-0.974757;-1.594;1385
York 03;York 03;-0.409757;-0.4786;1383
La Mesa-Spring Valley;La Mesa-Spring Valley;-0.880757;0.1927;1379
Harlingen CISD;Harlingen CISD;-0.391757;-0.9795;1377
Weslaco;Weslaco;-0.324757;-2.1552;1377
Terrebonne Parish;Terrebonne Parish;-0.629757;-0.635;1375
Tempe School District;Tempe School District;-1.014757;-0.7144;1373
